trans_table	taxon	level
5	Phalacridae	family
5	Scoliidae	family
5	Eylaidae	family
5	Scyllaridae	family
5	Oligotomidae	family
5	Synchaetidae	family
5	Philosinidae	family
5	Helicopsychidae	family
2	Synaphobranchidae	family
2	Kinosternidae	family
5	Ototyphlonemertidae	family
5	Synthemistidae	family
5	Stenopsychidae	family
5	Corduliidae	family
2	Cirrhitidae	family
5	Caenidae	family
5	Oenosandridae	family
5	Endromidae	family
5	Thynnidae	family
2	Scomberesocidae	family
2	Kyphosidae	family
5	Elipsocidae	family
5	Throscidae	family
2	Tityridae	family
5	Pomatiopsidae	family
4	Spongillidae	family
4	Primnoidae	family
5	Eriocottidae	family
5	Erotylidae	family
2	Momotidae	family
5	Issidae	family
5	Monotomidae	family
2	Apteronotidae	family
5	Eulophidae	family
2	Meropidae	family
5	Oreogetonidae	family
5	Isonychiidae	family
5	Eumastacidae	family
5	Heptamelidae	family
5	Halonoproctidae	family
2	Elopidae	family
4	Callyspongiidae	family
2	Lobotidae	family
2	Bucconidae	family
5	Byrrhidae	family
5	Pettalidae	family
2	Falconidae	family
5	Astatidae	family
5	Magelonidae	family
5	Hermanniidae	family
5	Ectinosomatidae	family
5	Candonidae	family
5	Eremaeidae	family
2	Hirundinidae	family
5	Philosciidae	family
5	Oreohelicidae	family
5	Naticidae	family
5	Lonchopteridae	family
5	Metarbelidae	family
5	Sapygidae	family
5	Pleidae	family
5	Limnadiidae	family
5	Dorvilleidae	family
5	Rhagidiidae	family
5	Idiopidae	family
5	Diprionidae	family
5	Hersiliidae	family
5	Menoponidae	family
5	Metridinidae	family
5	Trichodactylidae	family
5	Spirobolidae	family
2	Adrianichthyidae	family
4	Plexauridae	family
5	Crotoniidae	family
2	Petroicidae	family
2	Etmopteridae	family
5	Axiidae	family
5	Platylepadidae	family
5	Parasitidae	family
2	Rhamphichthyidae	family
5	Rhytididae	family
4	Theonellidae	family
2	Esocidae	family
5	Podocopida	family
5	Calocidae	family
2	Labrisomidae	family
5	Flabellinidae	family
2	Siganidae	family
2	Alaudidae	family
2	Soleidae	family
2	Melamphaidae	family
5	Compactozetidae	family
5	Stenotrachelidae	family
5	Myidae	family
2	Troglodytidae	family
5	Costasiellidae	family
4	Geodiidae	family
2	Cathartidae	family
5	Hymenopodidae	family
5	Heteroceridae	family
5	Moinidae	family
5	Gordiidae	family
5	Grapsidae	family
5	Attelabidae	family
2	Epigonidae	family
5	Nephtyidae	family
5	Ricinoididae	family
2	Antennariidae	family
5	Haaseidae	family
2	Cynolebiidae	family
5	Sigalionidae	family
4	Tubulariidae	family
2	Chamaeleonidae	family
2	Salamandridae	family
2	Ostraciidae	family
5	Luciferidae	family
5	Loliginidae	family
5	Silvanidae	family
2	Ambystomatidae	family
5	Geocoridae	family
5	Thiaridae	family
5	Armadillidae	family
2	Elapidae	family
5	Phaeomyiidae	family
5	Oedicerotidae	family
5	Agathemeridae	family
2	Herpestidae	family
4	Schizopathidae	family
5	Sphaerulariidae	family
2	Latridae	family
5	Cercopidae	family
2	Caprimulgidae	family
5	Hypsibiidae	family
5	Dixidae	family
5	Ampeliscidae	family
2	Pempheridae	family
5	Geotrupidae	family
5	Tullbergiidae	family
5	Urodinychidae	family
2	Monodontidae	family
2	Ariidae	family
5	Psychomyiidae	family
5	Johnstonianidae	family
5	Cunaxidae	family
5	Chaetopleuridae	family
2	Xiphiidae	family
2	Dactyloscopidae	family
2	Achiridae	family
5	Pourtalesiidae	family
2	Didelphidae	family
2	Phocoenidae	family
5	Opostegidae	family
2	Varanidae	family
2	Solenostomidae	family
2	Lybiidae	family
5	Onuphidae	family
5	Pleurobranchidae	family
5	Glauconomidae	family
5	Feltriidae	family
5	Ommastrephidae	family
4	Aplysinidae	family
5	Charilaidae	family
2	Phrynobatrachidae	family
5	Trigonalidae	family
2	Hystricidae	family
5	Hubbardiidae	family
2	Hyaenidae	family
5	Lynceidae	family
2	Sagittariidae	family
2	Argentinidae	family
5	Cambalopsidae	family
5	Themistidae	family
5	Aturidae	family
2	Ammodytidae	family
5	Spirulidae	family
11	Pyuridae	family
5	Rhopalidae	family
5	Histioteuthidae	family
2	Cebidae	family
5	Pontoporeiidae	family
5	Pasiphaeidae	family
2	Latidae	family
5	Ischnochitonidae	family
5	Volutidae	family
5	Ranellidae	family
5	Dendrodorididae	family
2	Oreosomatidae	family
4	Pennariidae	family
5	Bolbomyiidae	family
5	Pectinariidae	family
2	Viduidae	family
5	Aplysiidae	family
5	Dermanyssidae	family
5	Comasteridae	family
5	Pyrrhocoridae	family
5	Curtonotidae	family
5	Tonicellidae	family
5	Pinnotheridae	family
5	Coniopterygidae	family
5	Eucinetidae	family
2	Tropiduridae	family
5	Thermacaridae	family
5	Pompilidae	family
5	Limifossoridae	family
5	Phoxocephalidae	family
5	Solenoceridae	family
5	Pontellidae	family
5	Acanthopidae	family
2	Megadermatidae	family
2	Tarsiidae	family
2	Eleutherodactylidae	family
4	Axinellidae	family
5	Artheneidae	family
5	Polygyridae	family
4	Cassiopeidae	family
5	Liviidae	family
2	Pristigasteridae	family
5	Dryomyzidae	family
5	Glomeridesmidae	family
5	Acroceridae	family
2	Poeciliidae	family
5	Hydrozetidae	family
5	Paramelitidae	family
5	Tritoniidae	family
5	Echinothuriidae	family
5	Atlantidae	family
5	Rhigonematidae	family
5	Neritiliidae	family
4	Gorgoniidae	family
2	Hemisotidae	family
5	Bourletiellidae	family
5	Oweniidae	family
5	Brachystomellidae	family
5	Cheliferidae	family
5	Argasidae	family
5	Harpagophoridae	family
5	Cucujidae	family
2	Chimaeridae	family
5	Menippidae	family
5	Therevidae	family
5	Meropeidae	family
5	Charcotiidae	family
5	Lepetodrilidae	family
5	Filistatidae	family
2	Prochilodontidae	family
2	Astroblepidae	family
2	Ramphastidae	family
5	Microphysidae	family
5	Rhabditidae	family
2	Batrachoididae	family
5	Chirocephalidae	family
5	Douglasiidae	family
2	Myrmecophagidae	family
5	Euchaetidae	family
5	Nuculanidae	family
2	Podicipedidae	family
5	Upogebiidae	family
5	Melampidae	family
5	Fissurellidae	family
5	Xenophoridae	family
5	Diastylidae	family
4	Hormathiidae	family
2	Dicaeidae	family
5	Sididae	family
2	Hemigaleidae	family
2	Pomacanthidae	family
2	Phosichthyidae	family
5	Acanthochitonidae	family
5	Sicariidae	family
2	Dactylopteridae	family
5	Vertiginidae	family
5	Scorpionidae	family
5	Miturgidae	family
2	Eurylaimidae	family
5	Hyblaeidae	family
5	Caligidae	family
2	Odontaspididae	family
2	Cheirogaleidae	family
5	Zorotypidae	family
5	Synlestidae	family
2	Nematogenyidae	family
5	Parhedylidae	family
2	Haematopodidae	family
5	Behningiidae	family
5	Pseudoneureclipsidae	family
5	Trogiidae	family
2	Embiotocidae	family
2	Hexagrammidae	family
2	Chalceidae	family
2	Recurvirostridae	family
4	Hydridae	family
2	Centrogenyidae	family
5	Selenopidae	family
4	Agalmatidae	family
2	Oriolidae	family
5	Stenasellidae	family
2	Phocidae	family
5	Richardiidae	family
2	Galaxiidae	family
5	Achatinellidae	family
5	Taeniopterygidae	family
5	Trochomorphidae	family
2	Channichthyidae	family
5	Dryadaulidae	family
11	Styelidae	family
5	Peripatopsidae	family
5	Eudactylinidae	family
5	Xantonychidae	family
2	Pellorneidae	family
2	Caulophrynidae	family
5	Oxycephalidae	family
2	Scopelarchidae	family
5	Strongylidae	family
5	Tydeidae	family
5	Zephronidae	family
5	Cecidosidae	family
4	Nidaliidae	family
2	Echinorhinidae	family
5	Metacrangonyctidae	family
5	Anisakidae	family
5	Rhaphidophoridae	family
5	Calamoceratidae	family
5	Rhiniidae	family
5	Helicinidae	family
5	Stenopsocidae	family
5	Ascidae	family
5	Scutigeridae	family
2	Acestrorhynchidae	family
5	Pontogammaridae	family
2	Megophryidae	family
2	Bombinatoridae	family
2	Plesiopidae	family
4	Faviidae	family
5	Cyphocarididae	family
5	Iridopterygidae	family
5	Oxynoidae	family
5	Uristidae	family
5	Lepetidae	family
5	Filiniidae	family
2	Scophthalmidae	family
5	Paradoxosomatidae	family
5	Mermithidae	family
5	Arminidae	family
5	Aspidodiadematidae	family
5	Nemastomatidae	family
5	Mactridae	family
2	Aegithalidae	family
5	Megalotylidae	family
5	Cassidae	family
5	Timematidae	family
2	Pristidae	family
5	Pseudocrangonyctidae	family
5	Potamanthidae	family
2	Odontobutidae	family
5	Gastrodontidae	family
5	Fulgoridae	family
2	Moridae	family
5	Chthoniidae	family
5	Oncaeidae	family
5	Mycetaeidae	family
5	Eubranchidae	family
5	Himantariidae	family
5	Oestridae	family
2	Triakidae	family
5	Plataspidae	family
5	Periscelididae	family
5	Ampulicidae	family
5	Metretopodidae	family
5	Solariellidae	family
2	Galbulidae	family
5	Atelecyclidae	family
5	Macrocyprididae	family
2	Strigopidae	family
5	Enteroctopodidae	family
2	Proteidae	family
5	Phrurolithidae	family
5	Sepiolidae	family
5	Ascalaphidae	family
2	Paralepididae	family
2	Rhinochimaeridae	family
2	Odontophrynidae	family
5	Ovalipidae	family
2	Podargidae	family
5	Teloganodidae	family
5	Provannidae	family
5	Orbiniidae	family
5	Acanthaspidiidae	family
2	Berycidae	family
2	Cepolidae	family
5	Achatinidae	family
5	Nothridae	family
5	Cimberididae	family
5	Oligoneuriidae	family
4	Laodiceidae	family
5	Tenuipalpidae	family
5	Monoscutidae	family
5	Diadocidiidae	family
5	Cosmocercidae	family
5	Yoldiidae	family
5	Orsodacnidae	family
5	Belostomatidae	family
5	Xyelidae	family
5	Vermetidae	family
2	Urolophidae	family
5	Antrodiaetidae	family
5	Bathyteuthidae	family
2	Homalopsidae	family
2	Scatophagidae	family
2	Opistognathidae	family
5	Rhinophoridae	family
5	Pycnogonidae	family
2	Plotosidae	family
5	Dudgeoneidae	family
5	Scolopocryptopidae	family
2	Rivulidae	family
5	Aetideidae	family
2	Percophidae	family
5	Mimetidae	family
5	Oniscidae	family
2	Trachichthyidae	family
2	Percichthyidae	family
5	Eolepadidae	family
5	Passalidae	family
5	Brachystomatidae	family
5	Alexiidae	family
4	Eirenidae	family
2	Chaunacidae	family
11	Cionidae	family
5	Canacidae	family
2	Toxotidae	family
11	Didemnidae	family
5	Dictyocaulidae	family
5	Polyplacidae	family
5	Siphlaenigmatidae	family
5	Rathouisiidae	family
2	Chanidae	family
2	Cettiidae	family
5	Salpingidae	family
5	Streptaxidae	family
5	Mesopsocidae	family
5	Aegiridae	family
5	Lecanidae	family
5	Austroperlidae	family
5	Ammotheidae	family
5	Epermeniidae	family
5	Eunicidae	family
5	Orobdellidae	family
2	Polymixiidae	family
5	Ameronothridae	family
5	Aglajidae	family
5	Thamnocephalidae	family
2	Ptychadenidae	family
2	Balaenopteridae	family
2	Boidae	family
4	Pennatulidae	family
5	Hodotermitidae	family
5	Phylloxeridae	family
5	Koonungidae	family
4	Aglaopheniidae	family
5	Phiditiidae	family
2	Nesomyidae	family
5	Mideidae	family
5	Heteragrionidae	family
2	Aracanidae	family
5	Vaejovidae	family
2	Otididae	family
5	Urocoptidae	family
2	Glareolidae	family
5	Xylomyidae	family
5	Mydidae	family
2	Exocoetidae	family
5	Coenobitidae	family
5	Migidae	family
2	Plesiobatidae	family
5	Glycymerididae	family
5	Heloridae	family
5	Pseudoniphargidae	family
5	Parakalummidae	family
5	Carnidae	family
5	Latreilliidae	family
5	Melongenidae	family
5	Philinidae	family
5	Pachylaelapidae	family
5	Majidae	family
5	Ameiridae	family
5	Geophilidae	family
5	Copromorphidae	family
5	Hippidae	family
5	Pterygosomatidae	family
5	Ologamasidae	family
5	Margaritidae	family
5	Enoploteuthidae	family
5	Acanthephyridae	family
5	Corinnidae	family
5	Oxyuridae	family
2	Torpedinidae	family
2	Trachinidae	family
5	Xiphocentronidae	family
5	Gastropteridae	family
5	Triozidae	family
5	Metastrongylidae	family
5	Agaonidae	family
5	Nemopteridae	family
5	Chactidae	family
2	Hyliotidae	family
2	Viverridae	family
2	Anabantidae	family
5	Calopiidae	family
2	Melanotaeniidae	family
5	Endomychidae	family
5	Chitonidae	family
5	Calappidae	family
5	Schreckensteiniidae	family
2	Hemiscylliidae	family
5	Mogoplistidae	family
5	Liocranidae	family
4	Lychnorhizidae	family
5	Aphelinidae	family
5	Roeslerstammiidae	family
2	Lamnidae	family
5	Machilidae	family
2	Leptotyphlopidae	family
5	Lepraliellidae	family
5	Euscorpiidae	family
5	Peltogastridae	family
4	Aequoreidae	family
5	Poduridae	family
2	Pentacerotidae	family
2	Alytidae	family
5	Mytilinidae	family
5	Leucosiidae	family
4	Siderastreidae	family
2	Bathylaconidae	family
2	Sphaerodactylidae	family
2	Lemuridae	family
5	Clionidae	family
5	Litiopidae	family
5	Sminthuridae	family
5	Deinopidae	family
2	Rhinopomatidae	family
5	Phyxelididae	family
2	Chinchillidae	family
5	Calliostomatidae	family
5	Pyroteuthidae	family
5	Chaerilidae	family
5	Trichocercidae	family
4	Sagartiidae	family
5	Anthuridae	family
2	Amphiliidae	family
4	Clionaidae	family
5	Testudinellidae	family
2	Orectolobidae	family
2	Notacanthidae	family
5	Glyceridae	family
5	Ropalomeridae	family
5	Varroidae	family
5	Acroloxidae	family
2	Platysternidae	family
5	Kateretidae	family
5	Heterorhabditidae	family
5	Heteromyzidae	family
4	Virgulariidae	family
5	Phreatogammaridae	family
5	Stenopodidae	family
5	Oxycarenidae	family
4	Sphenopidae	family
5	Krendowskiidae	family
5	Dreissenidae	family
2	Trichonotidae	family
4	Tethyidae	family
2	Percopsidae	family
2	Alopiidae	family
5	Percnidae	family
2	Indotyphlidae	family
5	Calloporidae	family
5	Hermanniellidae	family
5	Pamphagidae	family
5	Trogidae	family
5	Polydesmidae	family
4	Agariciidae	family
5	Cypraeidae	family
5	Lernaeopodidae	family
4	Zoanthidae	family
5	Arthrosphaeridae	family
5	Nuttalliellidae	family
5	Abacionidae	family
5	Solenidae	family
5	Oxidae	family
5	Eukrohniidae	family
2	Natalidae	family
5	Pyrgomorphidae	family
5	Asterocheridae	family
2	Clinidae	family
4	Corynidae	family
5	Bythograeidae	family
4	Ianthellidae	family
5	Arcidae	family
2	Threskiornithidae	family
2	Brevicipitidae	family
5	Cancridae	family
2	Mammutidae	family
5	Scolecitrichidae	family
5	Cryptoplacidae	family
2	Bythitidae	family
4	Chrysogorgiidae	family
5	Gustaviidae	family
2	Phalacrocoracidae	family
5	Dirivultidae	family
2	Gymnuridae	family
5	Myrmecolacidae	family
2	Apterygidae	family
4	Malagazziidae	family
4	Ellisellidae	family
5	Octostigmatidae	family
5	Belliidae	family
5	Hirudinidae	family
5	Psammobiidae	family
5	Cyproideidae	family
5	Echiuridae	family
5	Ascaridiidae	family
5	Raninidae	family
5	Anguillicolidae	family
5	Alydidae	family
5	Byturidae	family
5	Platygastridae	family
2	Geotriidae	family
2	Telmatobiidae	family
2	Cisticolidae	family
5	Hesionidae	family
5	Aristeidae	family
5	Pachychilidae	family
4	Cerianthidae	family
5	Conopidae	family
5	Clausocalanidae	family
5	Praydidae	family
5	Polyxenidae	family
5	Xenoctenidae	family
5	Belidae	family
5	Sphindidae	family
5	Arthropleidae	family
2	Salangidae	family
5	Volvatellidae	family
5	Pycnophyidae	family
5	Troglosironidae	family
5	Georissidae	family
5	Liacaridae	family
5	Mesoveliidae	family
5	Tergipedidae	family
2	Leiocephalidae	family
11	Holozoidae	family
2	Fistulariidae	family
2	Profundulidae	family
5	Analgidae	family
5	Quadroppiidae	family
5	Limulidae	family
4	Arachnactidae	family
5	Thraciidae	family
5	Psyllidae	family
5	Sminthurididae	family
5	Epicopeiidae	family
2	Menidae	family
5	Anamorphidae	family
2	Thinocoridae	family
2	Grallariidae	family
5	Ripiphoridae	family
5	Limnoriidae	family
5	Branchinectidae	family
5	Phyllidiidae	family
11	Polyclinidae	family
5	Mecysmaucheniidae	family
4	Dysideidae	family
5	Tanypezidae	family
5	Odontellidae	family
2	Zenarchopteridae	family
2	Pomatomidae	family
5	Mictyridae	family
2	Dermophiidae	family
5	Peltoperlidae	family
5	Machaerotidae	family
5	Nymphidae	family
5	Liposcelididae	family
5	Clistosaccidae	family
5	Solecrutidae	family
5	Harpacticidae	family
2	Rhinobatidae	family
2	Dichistiidae	family
2	Paradisaeidae	family
5	Haliotidae	family
5	Polybiidae	family
5	Valloniidae	family
5	Leptodoridae	family
2	Octodontidae	family
4	Plumulariidae	family
5	Pennellidae	family
5	Tridactylidae	family
5	Charinidae	family
5	Euphthiracaridae	family
5	Melicharidae	family
2	Phyllodactylidae	family
5	Lymexylidae	family
5	Macrothricidae	family
5	Canuellidae	family
2	Oneirodidae	family
2	Tetragonuridae	family
5	Golfingiidae	family
5	Stenopelmatidae	family
5	Dasydemellidae	family
5	Photidae	family
5	Craterostigmidae	family
2	Pholidae	family
5	Olipiidae	family
4	Rhizophysidae	family
5	Dinophilidae	family
5	Pseudodiaptomidae	family
5	Sipunculidae	family
11	Pseudodistomidae	family
4	Merulinidae	family
5	Tineodidae	family
2	Gymnophthalmidae	family
5	Chorotypidae	family
2	Notoryctidae	family
2	Upupidae	family
2	Macroscelididae	family
5	Cyphoderidae	family
4	Mussidae	family
2	Tachyglossidae	family
5	Mymaridae	family
5	Fergusoninidae	family
2	Horabagridae	family
2	Aspredinidae	family
5	Zalmoxidae	family
5	Homotomidae	family
2	Gaviidae	family
5	Tonzidae	family
2	Malaconotidae	family
5	Capulidae	family
2	Lepilemuridae	family
2	Emmelichthyidae	family
5	Colloniidae	family
2	Spindalidae	family
5	Phasianellidae	family
5	Boreidae	family
5	Wettinidae	family
2	Bombycillidae	family
5	Stenocephalidae	family
5	Gryllacrididae	family
5	Cirolanidae	family
5	Aididae	family
5	Piesmatidae	family
4	Pandeidae	family
5	Morabidae	family
2	Arripidae	family
5	Monstrillidae	family
5	Mastigoteuthidae	family
5	Sacculinidae	family
5	Titanoecidae	family
2	Callorhinchidae	family
5	Philorheithridae	family
5	Leptocheliidae	family
5	Opomyzidae	family
5	Chirostylidae	family
2	Chelydridae	family
2	Trachipteridae	family
2	Jacanidae	family
2	Scombrolabracidae	family
5	Lestrigonidae	family
5	Aegidae	family
2	Plecoglossidae	family
5	Architeuthidae	family
5	Palaephatidae	family
4	Ricordeidae	family
5	Oerstediidae	family
5	Paronellidae	family
2	Melanocetidae	family
5	Amphinomidae	family
5	Symphytognathidae	family
5	Mastigophorophyllidae	family
5	Leuconidae	family
2	Tupaiidae	family
5	Ovulidae	family
5	Gymnodamaeidae	family
2	Casuariidae	family
5	Tarsonemidae	family
5	Pseudosquillidae	family
2	Ploceidae	family
5	Lepismatidae	family
5	Chilinidae	family
5	Nanorchestidae	family
2	Achiropsettidae	family
5	Haminoeidae	family
5	Elenchidae	family
2	Melanonidae	family
5	Pratylenchidae	family
5	Geryonidae	family
5	Eresidae	family
2	Macropodidae	family
2	Macrosphenidae	family
5	Callipallenidae	family
2	Claroteidae	family
5	Laqueidae	family
5	Miraciidae	family
11	Clavelinidae	family
5	Pallaseidae	family
2	Cariamidae	family
5	Alicellidae	family
5	Neoacaridae	family
5	Archaeidae	family
5	Crangonyctidae	family
2	Meliphagidae	family
2	Dasypodidae	family
2	Hexanchidae	family
2	Gonorynchidae	family
5	Desmodoridae	family
5	Neobrachylepadidae	family
5	Corbulidae	family
5	Schizodactylidae	family
2	Rheidae	family
5	Stenothyridae	family
5	Pteronyssidae	family
5	Epipygidae	family
2	Cacatuidae	family
5	Melanopsidae	family
5	Triaenonychidae	family
5	Tenuialidae	family
5	Oribatellidae	family
4	Raspailiidae	family
4	Forskaliidae	family
5	Chondrillidae	family
5	Alcyonidiidae	family
5	Smittinidae	family
2	Aulostomidae	family
5	Trochanteriidae	family
5	Pomphorhynchidae	family
5	Toxopidae	family
2	Daubentoniidae	family
5	Strongylophthalmyiidae	family
5	Aphroditidae	family
5	Cimeliidae	family
5	Phenacolepadidae	family
5	Domeciidae	family
2	Peramelidae	family
5	Lamippidae	family
2	Anarhichadidae	family
5	Pisanianuridae	family
5	Orthalicidae	family
4	Physaliidae	family
5	Cepheidae	family
5	Polyaspididae	family
5	Calmidae	family
2	Synbranchidae	family
5	Ithonidae	family
5	Paraplatyarthridae	family
5	Thalamoporellidae	family
5	Dulichiidae	family
2	Megalopidae	family
5	Biphyllidae	family
2	Remizidae	family
2	Somniosidae	family
5	Bullidae	family
5	Verhoeffiidae	family
5	Cylindrotomidae	family
2	Acanthizidae	family
4	Ptilocodiidae	family
5	Ochyroceratidae	family
5	Pontogeneiidae	family
4	Lubomirskiidae	family
5	Strongyloididae	family
5	Thyrisomidae	family
5	Tetratomidae	family
2	Siphonopidae	family
5	Membraniporidae	family
2	Certhiidae	family
5	Hatschekiidae	family
5	Eomeropidae	family
5	Tanaididae	family
11	Ascidiidae	family
2	Rhyacichthyidae	family
5	Bosminidae	family
5	Diaphanidae	family
5	Philometridae	family
2	Opisthoproctidae	family
2	Botiidae	family
5	Neriidae	family
2	Nettastomatidae	family
5	Nuculidae	family
5	Labiduridae	family
5	Opisthocheiridae	family
4	Corymorphidae	family
5	Diaspididae	family
5	Gabuciniidae	family
5	Mecistocephalidae	family
2	Neoscopelidae	family
5	Halacaridae	family
5	Ptychopteridae	family
5	Cymidae	family
2	Scombropidae	family
2	Leiosauridae	family
2	Cuculidae	family
2	Indostomidae	family
5	Atypidae	family
5	Ceratophyllidae	family
5	Pythidae	family
2	Pluvianellidae	family
5	Chiroteuthidae	family
5	Trematuridae	family
5	Campylonotidae	family
4	Caryophylliidae	family
5	Thysanophoridae	family
5	Augaptilidae	family
2	Aetobatidae	family
5	Campodeidae	family
5	Mecicobothriidae	family
5	Paraxonchiidae	family
5	Tomopteridae	family
5	Turritellidae	family
2	Pachycephalidae	family
5	Austremerellidae	family
5	Neelidae	family
2	Glaucosomatidae	family
5	Callidulidae	family
5	Perilestidae	family
2	Rhynchobatidae	family
5	Annulariidae	family
5	Pylochelidae	family
5	Valvatidae	family
5	Phyllognathopodidae	family
5	Scyllaeidae	family
5	Bathyporeiidae	family
5	Sphaerodoridae	family
2	Manidae	family
2	Rondeletiidae	family
5	Terebratellidae	family
5	Peloridiidae	family
2	Lorisidae	family
4	Oceaniidae	family
4	Bythotiaridae	family
5	Neoephemeridae	family
5	Kiwaidae	family
2	Coraciidae	family
5	Linotaeniidae	family
5	Sarcoptidae	family
4	Halichondriidae	family
5	Blephariceridae	family
2	Chirocentridae	family
5	Thecideidae	family
2	Pyxicephalidae	family
5	Eusiridae	family
5	Thanerocleridae	family
2	Oplegnathidae	family
2	Pseudocheiridae	family
5	Desidae	family
5	Mormotomyiidae	family
5	Nanhermanniidae	family
5	Mysmenidae	family
4	Clavulariidae	family
2	Oceanitidae	family
5	Bugulidae	family
5	Pyrgotidae	family
2	Sternoptychidae	family
5	Euryplacidae	family
5	Pachygronthidae	family
5	Ameroseiidae	family
5	Phascolosomatidae	family
2	Giganturidae	family
5	Acartophthalmidae	family
2	Pristiophoridae	family
5	Plagusiidae	family
2	Chlorophthalmidae	family
5	Pyroglyphidae	family
2	Alepisauridae	family
5	Tropiduchidae	family
4	Chalinidae	family
5	Chyromyidae	family
5	Sironidae	family
2	Melanocharitidae	family
5	Stiligeridae	family
5	Megalopodidae	family
5	Eupelmidae	family
5	Limapontiidae	family
5	Hypochthoniidae	family
4	Ancorinidae	family
5	Arcticidae	family
2	Paraulopidae	family
5	Myrmecophilidae	family
5	Sisyridae	family
5	Trichotriidae	family
5	Archipsocidae	family
5	Amphiporidae	family
5	Osmylidae	family
2	Regalecidae	family
5	Assimineidae	family
5	Bogidiellidae	family
5	Phidoloporidae	family
2	Diretmidae	family
2	Conopophagidae	family
2	Nothobranchiidae	family
5	Cerylonidae	family
5	Drilliidae	family
2	Kurtidae	family
5	Scolodontidae	family
4	Rhodaliidae	family
5	Tegulidae	family
5	Phrynichidae	family
5	Cimicidae	family
5	Megalanceolidae	family
5	Tristiridae	family
5	Schistonoeidae	family
5	Hymenosomatidae	family
5	Psilidae	family
2	Dermochelyidae	family
5	Nesticidae	family
2	Pythonidae	family
5	Chrysopetalidae	family
5	Potamocoridae	family
5	Iridinidae	family
5	Haplotaxidae	family
4	Irciniidae	family
5	Zetomimidae	family
2	Thyropteridae	family
5	Glaresidae	family
5	Dironidae	family
5	Xenidae	family
5	Gonodactylidae	family
2	Echeneidae	family
2	Castoridae	family
2	Peucedramidae	family
5	Gastrostomobdellidae	family
5	Streptocephalidae	family
5	Liljeborgiidae	family
5	Lepidochitonidae	family
5	Verrucidae	family
5	Ammoplanidae	family
5	Desmosomatidae	family
5	Pseudophasmatidae	family
5	Brachychaeteumatidae	family
5	Dentaliidae	family
5	Leptastacidae	family
4	Stylasteridae	family
5	Oncholaimidae	family
5	Gongylonematidae	family
2	Mitrospingidae	family
2	Pegasidae	family
2	Sphenodontidae	family
4	Agelasidae	family
5	Diplocentridae	family
5	Prosopistomatidae	family
5	Arctacaridae	family
4	Anthoptilidae	family
5	Solemyidae	family
5	Ctenidae	family
4	Crambeidae	family
4	Plakinidae	family
5	Carpiliidae	family
2	Anablepidae	family
2	Symphysanodontidae	family
2	Monarchidae	family
2	Lepidosirenidae	family
2	Pittidae	family
5	Steinernematidae	family
5	Arenicolidae	family
2	Cynodontidae	family
2	Ciconiidae	family
5	Helicodiscidae	family
5	Prophalangopsidae	family
5	Mellinidae	family
2	Capromyidae	family
2	Typhlopidae	family
2	Xantusiidae	family
5	Cucullanidae	family
5	Nannastacidae	family
5	Bittacidae	family
2	Sittidae	family
5	Bopyridae	family
5	Tylidae	family
5	Caeculidae	family
2	Burhinidae	family
5	Caliscelidae	family
5	Dignathodontidae	family
5	Harrimaniidae	family
2	Polycentridae	family
5	Urocyclidae	family
5	Cocculinidae	family
5	Orussidae	family
2	Myocastoridae	family
2	Phaethontidae	family
5	Anapidae	family
2	Zeniontidae	family
5	Candaciidae	family
5	Spirorbidae	family
2	Gasteropelecidae	family
5	Goneplacidae	family
2	Alsodidae	family
5	Corycaeidae	family
5	Opetiidae	family
5	Microchaetidae	family
5	Lernaeodiscidae	family
5	Benthesicymidae	family
5	Cylichnidae	family
2	Gavialidae	family
5	Physoglenidae	family
5	Pilumnoididae	family
5	Asteiidae	family
5	Psoroptidae	family
5	Macronyssidae	family
5	Basiliolidae	family
5	Peltidae	family
2	Hoplichthyidae	family
2	Typhlonectidae	family
5	Petrothrincidae	family
2	Stephanoberycidae	family
5	Acerentomidae	family
2	Mantellidae	family
5	Udubidae	family
5	Nosodendridae	family
5	Avenzoariidae	family
5	Macrophthalmidae	family
2	Thryonomyidae	family
5	Lovenellidae	family
5	Podoctidae	family
2	Notiomystidae	family
5	Linognathidae	family
5	Uenoidae	family
5	Blissidae	family
2	Akysidae	family
2	Shinisauridae	family
5	Arenopontiidae	family
5	Acrocirridae	family
5	Antipodoeciidae	family
5	Notodromadidae	family
2	Podocnemididae	family
5	Trachytidae	family
2	Megalaimidae	family
2	Phascolarctidae	family
5	Clavatulidae	family
5	Hyocrinidae	family
5	Psychroteuthidae	family
5	Parthenopidae	family
2	Galagidae	family
5	Dracunculidae	family
5	Physalopteridae	family
5	Heliodinidae	family
5	Digamasellidae	family
2	Psophiidae	family
5	Dictyopharidae	family
2	Urotrygonidae	family
4	Actinostolidae	family
2	Epigonichthyidae	family
5	Cryptosulidae	family
5	Pseudogarypidae	family
2	Ichthyophiidae	family
5	Suctobelbidae	family
5	Dotillidae	family
2	Bucerotidae	family
2	Corytophanidae	family
5	Microprotopidae	family
5	Lysianassidae	family
5	Cryptochetidae	family
4	Diadumenidae	family
2	Burramyidae	family
5	Cochlicopidae	family
2	Cyclopedidae	family
5	Achilidae	family
5	Sabellariidae	family
5	Coccidae	family
2	Caviidae	family
5	Veigaiidae	family
5	Atemnidae	family
5	Charopidae	family
5	Dexaminidae	family
